"name","mana_cost","combined_mana_cost","card_text","power","toughness","standard","commander","type","First_keyword","Second_keyword","Third_keyword","Fourth_keyword","Fifth_keyword","layout","arena_id","prints_search_uri","rarity","number_keywords","Flying","Deathtouch","Haste","Vigilance","Broad_type","sanitised_name"
"Death-Rattle Oni","{6}{B}",7,"Flash
This spell costs {2} less to cast for each creature that died this turn.
When this creature enters, destroy all other creatures that were dealt damage this turn.","5",4,"legal","legal","Creature — Demon Spirit","Flash",NA,NA,NA,NA,"normal",85069,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3Abea40c67-73ca-4b5e-b902-5de07f21585c&unique=prints","uncommon",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Death-Rattle Oni"
"Sylvan Safekeeper","{G}",1,"Sacrifice a land: Target creature you control gains shroud until end of turn. (It can't be the target of spells or abilities.)","1",1,"not_legal","legal","Creature — Human Wizard",NA,NA,NA,NA,NA,"normal",91113,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3Abddf8f4a-3149-4dd6-a9e5-7747e7e45a1c&unique=prints","rare",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Sylvan Safekeeper"
"Dreadwurm","{4}{B}",5,"Landfall — Whenever a land you control enters, this creature gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)","5",4,"not_legal","legal","Creature — Wurm Horror","Landfall",NA,NA,NA,NA,"normal",73296,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3A9feb7600-f844-4573-bcb7-d6b34473517b&unique=prints","common",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Dreadwurm"
"Evercoat Ursine","{4}{G}",5,"Trample
Hideaway 3, hideaway 3 (When this creature enters, look at the top three cards of your library, exile one face down, then put the rest on the bottom in a random order. Then do it again.)
Whenever this creature deals combat damage to a player, if there are cards exiled with it, you may play one of them without paying its mana cost.","6",5,"not_legal","legal","Creature — Elemental Bear","Trample","Hideaway",NA,NA,NA,"normal",NA,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3A65c32889-3d70-449f-af76-05385c78c5a9&unique=prints","rare",2,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Evercoat Ursine"
"Eldritch Evolution","{1}{G}{G}",3,"As an additional cost to cast this spell, sacrifice a creature.
Search your library for a creature card with mana value X or less, where X is 2 plus the sacrificed creature's mana value. Put that card onto the battlefield, then shuffle. Exile Eldritch Evolution.",NA,NA,"not_legal","legal","Sorcery",NA,NA,NA,NA,NA,"normal",NA,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3A0f77c0c9-4dc4-489a-b547-e93287c4d1a5&unique=prints","rare",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Sorcery","Eldritch Evolution"
"Kadena, Slinking Sorcerer","{1}{B}{G}{U}",4,"The first face-down creature spell you cast each turn costs {3} less to cast.
Whenever a face-down creature you control enters, draw a card.","3",3,"not_legal","legal","Legendary Creature — Snake Wizard",NA,NA,NA,NA,NA,"normal",NA,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3A4da13eb8-ca18-43f1-b54b-d3ddceb980d2&unique=prints","mythic",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Kadena, Slinking Sorcerer"
"Yarus, Roar of the Old Gods","{2}{R}{G}",4,"Other creatures you control have haste.
Whenever one or more face-down creatures you control deal combat damage to a player, draw a card.
Whenever a face-down creature you control dies, return it to the battlefield face down under its owner's control if it's a permanent card, then turn it face up.","4",4,"legal","legal","Legendary Creature — Centaur Druid",NA,NA,NA,NA,NA,"normal",89157,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3A30fd6171-3e57-4c05-a86b-e1c0479ba236&unique=prints","rare",NA,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Yarus, Roar of the Old Gods"
"Hauntwoods Shrieker","{1}{G}{G}",3,"Whenever this creature attacks, manifest dread. (Look at the top two cards of your library. Put one onto the battlefield face down as a 2/2 creature and the other into your graveyard. Turn it face up any time for its mana cost if it's a creature card.)
{1}{G}: Reveal target face-down permanent. If it's a creature card, you may turn it face up.","3",3,"legal","legal","Creature — Beast Mutant","Manifest","Manifest dread",NA,NA,NA,"normal",92272,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3A09c275bd-8323-485e-81f6-aff1f99d0d03&unique=prints","mythic",2,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Hauntwoods Shrieker"
"Tomik, Wielder of Law","{1}{W}{B}",3,"Affinity for planeswalkers (This spell costs {1} less to cast for each planeswalker you control.)
Flying, vigilance
Whenever an opponent attacks with creatures, if two or more of those creatures are attacking you and/or planeswalkers you control, that opponent loses 3 life and you draw a card.","2",4,"legal","legal","Legendary Creature — Human Advisor","Flying","Affinity","Vigilance",NA,NA,"normal",89220,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3A2ef0961a-0543-4371-8c2a-333881b735e5&unique=prints","mythic",3,"Flying","Not deathtouch","Not haste","Vigilance","Creature","Tomik, Wielder of Law"
"Venerated Rotpriest","{G}",1,"Toxic 1 (Players dealt combat damage by this creature also get a poison counter.)
Whenever a creature you control becomes the target of a spell, target opponent gets a poison counter.","1",2,"legal","legal","Creature — Phyrexian Druid","Toxic",NA,NA,NA,NA,"normal",83892,"https://api.scryfall.com/cards/search?order=released&q=oracleid%3Aeafd7ba5-691d-4f8d-94bb-70a5612245a1&unique=prints","rare",1,"Not flying","Not deathtouch","Not haste","Not vigilance","Creature","Venerated Rotpriest"
